Name,Engine,Version,Row_format,Rows,Avg_row_length,Data_length,Max_data_length,Index_length,Data_free,Auto_increment,Create_time,Update_time,Check_time,Collation,Checksum,Create_options,Comment
account,InnoDB,10,Compact,13,1260,16384,0,32768,9437184,14,"2016-01-02 17:33:34",,,latin1_swedish_ci,,,
address,InnoDB,10,Compact,22,744,16384,0,65536,9437184,33,"2016-01-02 17:33:34",,,latin1_swedish_ci,,,
business,InnoDB,10,Compact,90,182,16384,0,32768,9437184,92,"2016-01-02 17:33:34",,,latin1_swedish_ci,,,
business_area,InnoDB,10,Compact,10,1638,16384,0,32768,9437184,,"2016-01-02 17:33:34",,,latin1_swedish_ci,,,
business_logo,InnoDB,10,Compact,19,83644,1589248,0,16384,9437184,25,"2016-01-02 17:33:34",,,latin1_swedish_ci,,,
category,InnoDB,10,Compact,8,2048,16384,0,16384,9437184,,"2016-01-02 17:33:33",,,latin1_swedish_ci,,,
city,InnoDB,10,Compact,8,2048,16384,0,49152,9437184,,"2016-01-02 17:33:33",,,latin1_swedish_ci,,,
country,InnoDB,10,Compact,7,2340,16384,0,16384,9437184,,"2016-01-02 17:33:33",,,latin1_swedish_ci,,,
coupon,InnoDB,10,Compact,15,1092,16384,0,16384,9437184,16,"2016-01-02 17:33:34",,,latin1_swedish_ci,,,
employee,InnoDB,10,Compact,0,0,16384,0,0,9437184,1,"2016-05-24 11:26:41",,,latin1_swedish_ci,,,
employer,InnoDB,10,Compact,0,0,16384,0,0,9437184,1,"2016-05-24 11:30:29",,,latin1_swedish_ci,,,
end_user,InnoDB,10,Compact,113,144,16384,0,0,9437184,153,"2016-01-02 17:33:34",,,latin1_swedish_ci,,,
likes_details,InnoDB,10,Compact,0,0,16384,0,0,9437184,1,"2016-01-02 17:41:49",,,latin1_swedish_ci,,,
movie,InnoDB,10,Compact,4,114688,458752,0,0,9437184,6,"2016-04-11 14:36:44",,,latin1_swedish_ci,,,
movie_rating,InnoDB,10,Compact,30,546,16384,0,0,9437184,32,"2016-04-11 14:37:55",,,latin1_swedish_ci,,,
nike,InnoDB,10,Compact,66,248,16384,0,0,9437184,,"2016-05-15 11:39:53",,,latin1_swedish_ci,,,
property,InnoDB,10,Compact,9,1820,16384,0,0,9437184,,"2016-01-02 17:33:34",,,latin1_swedish_ci,,,
state,InnoDB,10,Compact,6,2730,16384,0,32768,9437184,,"2016-01-02 17:33:33",,,latin1_swedish_ci,,,
topic_details,InnoDB,10,Compact,0,0,16384,0,0,9437184,1,"2016-01-02 17:41:49",,,latin1_swedish_ci,,,
topic_replies,InnoDB,10,Compact,0,0,16384,0,0,9437184,1,"2016-01-02 17:41:49",,,latin1_swedish_ci,,,
topic_subscribers,InnoDB,10,Compact,0,0,16384,0,0,9437184,1,"2016-01-02 17:41:49",,,latin1_swedish_ci,,,
user,InnoDB,10,Compact,0,0,16384,0,0,9437184,1,"2016-01-02 17:41:49",,,latin1_swedish_ci,,,
user_rating,InnoDB,10,Compact,91,180,16384,0,32768,9437184,131,"2016-01-02 17:33:34",,,latin1_swedish_ci,,,
